Concentration,Time_min,Fit_Value,Vmax,Km
0.3125ug/ml,0.0,0.0,9210.0,0.255
0.3125ug/ml,0.1507537688442211,2440.1396384731397,9210.0,0.255
0.3125ug/ml,0.3015075376884422,4242.364747962091,9210.0,0.255
0.3125ug/ml,0.4522613065326633,5573.442401905223,9210.0,0.255
0.3125ug/ml,0.6030150753768844,6556.542521584035,9210.0,0.255
0.3125ug/ml,0.7537688442211055,7282.635279921174,9210.0,0.255
0.3125ug/ml,0.9045226130653266,7818.908934207655,9210.0,0.255
0.3125ug/ml,1.0552763819095476,8214.987023376867,9210.0,0.255
0.3125ug/ml,1.2060301507537687,8507.520231872188,9210.0,0.255
0.3125ug/ml,1.3567839195979898,8723.577823576048,9210.0,0.255
0.3125ug/ml,1.507537688442211,8883.152468700888,9210.0,0.255
0.3125ug/ml,1.658291457286432,9001.010245259007,9210.0,0.255
0.3125ug/ml,1.809045226130653,9088.057003121803,9210.0,0.255
0.3125ug/ml,1.9597989949748742,9152.347525781439,9210.0,0.255
0.3125ug/ml,2.1105527638190953,9199.830871575481,9210.0,0.255
0.3125ug/ml,2.2613065326633164,9234.900863769088,9210.0,0.255
0.3125ug/ml,2.4120603015075375,9260.802668536478,9210.0,0.255
0.3125ug/ml,2.5628140703517586,9279.933083122949,9210.0,0.255
0.3125ug/ml,2.7135678391959797,9294.062321048137,9210.0,0.255
0.3125ug/ml,2.8643216080402008,9304.497817019446,9210.0,0.255
0.3125ug/ml,3.015075376884422,9312.205209077238,9210.0,0.255
0.3125ug/ml,3.165829145728643,9317.897692931938,9210.0,0.255
0.3125ug/ml,3.316582914572864,9322.102016806091,9210.0,0.255
0.3125ug/ml,3.467336683417085,9325.207223547115,9210.0,0.255
0.3125ug/ml,3.618090452261306,9327.500650312775,9210.0,0.255
0.3125ug/ml,3.7688442211055273,9329.194517023794,9210.0,0.255
0.3125ug/ml,3.9195979899497484,9330.445563919062,9210.0,0.255
0.3125ug/ml,4.0703517587939695,9331.369555354735,9210.0,0.255
0.3125ug/ml,4.221105527638191,9332.051991941587,9210.0,0.255
0.3125ug/ml,4.371859296482412,9332.55602225734,9210.0,0.255
0.3125ug/ml,4.522613065326633,9332.928286236282,9210.0,0.255
0.3125ug/ml,4.673366834170854,9333.20323094831,9210.0,0.255
0.3125ug/ml,4.824120603015075,9333.406298123617,9210.0,0.255
0.3125ug/ml,4.974874371859296,9333.556278377402,9210.0,0.255
0.3125ug/ml,5.125628140703517,9333.667049980402,9210.0,0.255
0.3125ug/ml,5.276381909547738,9333.748863070605,9210.0,0.255
0.3125ug/ml,5.427135678391959,9333.809288139368,9210.0,0.255
0.3125ug/ml,5.57788944723618,9333.853916559172,9210.0,0.255
0.3125ug/ml,5.7286432160804015,9333.886877975601,9210.0,0.255
