Concentration,Conc_Value,Time_min,RFU_Interpolated,Is_Extrapolated
0.3125 ug/mL,0.3125,0.0,0.4182450771271169,False
0.3125 ug/mL,0.3125,0.045,682.4879687929206,False
0.3125 ug/mL,0.3125,0.09,1312.9087718671399,False
0.3125 ug/mL,0.3125,0.135,1895.591707540657,False
0.3125 ug/mL,0.3125,0.18,2434.1516691876323,False
0.3125 ug/mL,0.3125,0.22499999999999998,2931.929816670073,False
0.3125 ug/mL,0.3125,0.27,3392.0143044832803,False
0.3125 ug/mL,0.3125,0.315,3817.2594402870936,False
0.3125 ug/mL,0.3125,0.36,4210.303392680077,False
0.3125 ug/mL,0.3125,0.40499999999999997,4573.584558073509,False
0.3125 ug/mL,0.3125,0.44999999999999996,4909.356688203263,False
0.3125 ug/mL,0.3125,0.495,5219.7028721288,False
0.3125 ug/mL,0.3125,0.54,5506.54845946186,False
0.3125 ug/mL,0.3125,0.585,5771.673004999017,False
0.3125 ug/mL,0.3125,0.63,6016.7213088610815,False
0.3125 ug/mL,0.3125,0.6749999999999999,6243.213620631056,False
0.3125 ug/mL,0.3125,0.72,6452.555070795848,False
0.3125 ug/mL,0.3125,0.765,6646.04438800325,False
0.3125 ug/mL,0.3125,0.8099999999999999,6824.881956214969,False
0.3125 ug/mL,0.3125,0.855,6990.177261741316,False
0.3125 ug/mL,0.3125,0.8999999999999999,7142.95577635801,False
0.3125 ug/mL,0.3125,0.945,7284.165319207145,False
0.3125 ug/mL,0.3125,0.99,7414.681936950741,False
0.3125 ug/mL,0.3125,1.035,7535.315338656654,False
0.3125 ug/mL,0.3125,1.08,7646.813919134192,False
0.3125 ug/mL,0.3125,1.125,7749.869401883596,False
0.3125 ug/mL,0.3125,1.17,7845.121130463695,False
0.3125 ug/mL,0.3125,1.2149999999999999,7933.160034900826,False
0.3125 ug/mL,0.3125,1.26,8014.5322977461365,False
0.3125 ug/mL,0.3125,1.305,8089.742742525068,False
0.3125 ug/mL,0.3125,1.3499999999999999,8159.257965600501,False
0.3125 ug/mL,0.3125,1.395,8223.509230879297,False
0.3125 ug/mL,0.3125,1.44,8282.895145320606,False
0.3125 ug/mL,0.3125,1.4849999999999999,8337.784131844492,False
0.3125 ug/mL,0.3125,1.53,8388.516714982483,False
0.3125 ug/mL,0.3125,1.575,8435.407633449944,False
0.3125 ug/mL,0.3125,1.6199999999999999,8478.747792746419,False
0.3125 ug/mL,0.3125,1.665,8518.806069897617,False
0.3125 ug/mL,0.3125,1.71,8555.830981535464,False
0.3125 ug/mL,0.3125,1.755,8590.052225664766,False
0.3125 ug/mL,0.3125,1.7999999999999998,8621.68210668142,False
0.3125 ug/mL,0.3125,1.845,8650.916852482818,False
0.3125 ug/mL,0.3125,1.89,8677.93783184162,False
0.3125 ug/mL,0.3125,1.9349999999999998,8702.912679595347,False
0.3125 ug/mL,0.3125,1.98,8725.996336632323,False
0.3125 ug/mL,0.3125,2.025,8747.332011125924,False
0.3125 ug/mL,0.3125,2.07,8767.052066980492,False
0.3125 ug/mL,0.3125,2.1149999999999998,8785.27884500075,False
0.3125 ug/mL,0.3125,2.16,8802.125421879118,False
0.3125 ug/mL,0.3125,2.205,8817.69631170964,False
0.3125 ug/mL,0.3125,2.25,8832.088114380575,False
0.3125 ug/mL,0.3125,2.295,8845.390114868253,False
0.3125 ug/mL,0.3125,2.34,8857.68483715009,False
0.3125 ug/mL,0.3125,2.385,8869.04855617322,False
0.3125 ug/mL,0.3125,2.4299999999999997,8879.551771054894,False
0.3125 ug/mL,0.3125,2.475,8889.259642450348,False
0.3125 ug/mL,0.3125,2.52,8898.232396801506,False
0.3125 ug/mL,0.3125,2.565,8906.525699974427,False
0.3125 ug/mL,0.3125,2.61,8914.191002603498,False
0.3125 ug/mL,0.3125,2.655,8921.27585928487,False
0.3125 ug/mL,0.3125,2.6999999999999997,8927.8242235993,False
0.3125 ug/mL,0.3125,2.745,8933.8767207948,False
0.3125 ug/mL,0.3125,2.79,8939.470899820672,False
0.3125 ug/mL,0.3125,2.835,8944.641466276573,False
0.3125 ug/mL,0.3125,2.88,8949.420497721803,False
0.3125 ug/mL,0.3125,2.925,8953.83764268054,False
0.3125 ug/mL,0.3125,2.9699999999999998,8957.920304577645,False
0.3125 ug/mL,0.3125,3.0149999999999997,8961.693811746138,False
0.3125 ug/mL,0.3125,3.06,8965.18157456107,False
0.3125 ug/mL,0.3125,3.105,8968.405230674618,False
0.3125 ug/mL,0.3125,3.15,8971.384779253414,False
0.3125 ug/mL,0.3125,3.195,8974.13870505093,False
0.3125 ug/mL,0.3125,3.2399999999999998,8976.6840930846,False
0.3125 ug/mL,0.3125,3.2849999999999997,8979.036734629191,False
0.3125 ug/mL,0.3125,3.33,8981.21122518392,False
0.3125 ug/mL,0.3125,3.375,8983.221055021144,False
0.3125 ug/mL,0.3125,3.42,8985.078692878345,False
0.3125 ug/mL,0.3125,3.465,8986.795663312654,False
0.3125 ug/mL,0.3125,3.51,8988.382618197786,False
0.3125 ug/mL,0.3125,3.5549999999999997,8989.849402806956,False
0.3125 ug/mL,0.3125,3.5999999999999996,8991.205116891746,False
0.3125 ug/mL,0.3125,3.645,8992.458171135844,False
0.3125 ug/mL,0.3125,3.69,8993.616339333892,False
0.3125 ug/mL,0.3125,3.735,8994.68680661916,False
0.3125 ug/mL,0.3125,3.78,8995.67621403922,False
0.3125 ug/mL,0.3125,3.8249999999999997,8996.5906997562,False
0.3125 ug/mL,0.3125,3.8699999999999997,8997.435937127178,False
0.3125 ug/mL,0.3125,3.915,8998.217169901001,False
0.3125 ug/mL,0.3125,3.96,8998.939244749861,False
0.3125 ug/mL,0.3125,4.005,8999.606641337436,False
0.3125 ug/mL,0.3125,4.05,9000.223500110198,False
0.3125 ug/mL,0.3125,4.095,9000.793647984214,False
0.3125 ug/mL,0.3125,4.14,9001.320622086876,False
0.3125 ug/mL,0.3125,4.185,9001.8076917008,False
0.3125 ug/mL,0.3125,4.2299999999999995,9002.257878546056,False
0.3125 ug/mL,0.3125,4.2749999999999995,9002.67397552654,False
0.3125 ug/mL,0.3125,4.32,9003.058564056824,False
0.3125 ug/mL,0.3125,4.365,9003.414030076916,False
0.3125 ug/mL,0.3125,4.41,9003.74257885435,False
0.3125 ug/mL,0.3125,4.455,9004.046248665394,False
0.3125 ug/mL,0.3125,4.5,9004.32692344026,False
0.3125 ug/mL,0.3125,4.545,9004.586344450783,False
0.3125 ug/mL,0.3125,4.59,9004.826121113056,False
0.3125 ug/mL,0.3125,4.635,9005.04774097204,False
0.3125 ug/mL,0.3125,4.68,9005.252578930125,False
0.3125 ug/mL,0.3125,4.725,9005.441905776848,False
0.3125 ug/mL,0.3125,4.77,9005.616896072715,False
0.3125 ug/mL,0.3125,4.8149999999999995,9005.77863543603,False
0.3125 ug/mL,0.3125,4.859999999999999,9005.928127277943,False
0.3125 ug/mL,0.3125,4.905,9006.066299027478,False
0.3125 ug/mL,0.3125,4.95,9006.194007885202,False
0.3125 ug/mL,0.3125,4.995,9006.312046141185,False
0.3125 ug/mL,0.3125,5.04,9006.421146090272,False
0.3125 ug/mL,0.3125,5.085,9006.521984575145,False
0.3125 ug/mL,0.3125,5.13,9006.615187185384,False
0.3125 ug/mL,0.3125,5.175,9006.701332138535,False
0.3125 ug/mL,0.3125,5.22,9006.780953867308,False
0.3125 ug/mL,0.3125,5.265,9006.854546335131,False
0.3125 ug/mL,0.3125,5.31,9006.922566100635,False
0.3125 ug/mL,0.3125,5.3549999999999995,9006.985435150094,False
0.3125 ug/mL,0.3125,5.3999999999999995,9007.043543515369,False
0.3125 ug/mL,0.3125,5.444999999999999,9007.09725169362,False
0.3125 ug/mL,0.3125,5.49,9007.146892883791,False
0.3125 ug/mL,0.3125,5.535,9007.19277505373,False
0.3125 ug/mL,0.3125,5.58,9007.235182850784,False
0.3125 ug/mL,0.3125,5.625,9007.274379367716,False
0.3125 ug/mL,0.3125,5.67,9007.310607774905,False
0.3125 ug/mL,0.3125,5.715,9007.344092828942,False
0.3125 ug/mL,0.3125,5.76,9007.375042266985,False
0.3125 ug/mL,0.3125,5.805,9007.403648095551,False
0.3125 ug/mL,0.3125,5.85,9007.430087781686,False
0.3125 ug/mL,0.3125,5.895,9007.454525353956,False
0.3125 ug/mL,0.3125,5.9399999999999995,9007.477112420056,False
0.3125 ug/mL,0.3125,5.984999999999999,9007.497989107374,False
0.3125 ug/mL,0.3125,6.029999999999999,9007.517284932312,False
0.3125 ug/mL,0.3125,6.075,9007.5351196038,False
0.3125 ug/mL,0.3125,6.12,9007.551603765945,False
0.3125 ug/mL,0.3125,6.165,9007.566839684469,False
0.3125 ug/mL,0.3125,6.21,9007.580921881137,False
0.3125 ug/mL,0.3125,6.255,9007.593937720172,False
0.3125 ug/mL,0.3125,6.3,9007.605967950236,False
0.3125 ug/mL,0.3125,6.345,9007.6170872054,False
0.3125 ug/mL,0.3125,6.39,9007.627364468159,False
0.3125 ug/mL,0.3125,6.435,9007.63686349739,False
0.3125 ug/mL,0.3125,6.4799999999999995,9007.6456432239,False
0.3125 ug/mL,0.3125,6.5249999999999995,9007.653758116036,False
0.3125 ug/mL,0.3125,6.569999999999999,9007.661258517592,False
0.3125 ug/mL,0.3125,6.614999999999999,9007.66819096014,False
0.3125 ug/mL,0.3125,6.66,9007.674598451698,False
0.3125 ug/mL,0.3125,6.705,9007.680520743561,False
0.3125 ug/mL,0.3125,6.75,9007.685994576897,False
0.3125 ug/mL,0.3125,6.795,9007.6910539107,False
0.3125 ug/mL,0.3125,6.84,9007.695730132453,False
0.3125 ug/mL,0.3125,6.885,9007.70005225286,False
0.3125 ug/mL,0.3125,6.93,9007.704047085826,False
0.3125 ug/mL,0.3125,6.975,9007.707739414807,False
0.3125 ug/mL,0.3125,7.02,9007.711152146558,False
0.3125 ug/mL,0.3125,7.0649999999999995,9007.714306453243,False
0.3125 ug/mL,0.3125,7.109999999999999,9007.717221903797,False
0.3125 ug/mL,0.3125,7.154999999999999,9007.719916585316,False
0.3125 ug/mL,0.3125,7.199999999999999,9007.722407215275,False
0.3125 ug/mL,0.3125,7.245,9007.724709245234,False
0.3125 ug/mL,0.3125,7.29,9007.726836956706,False
0.3125 ug/mL,0.3125,7.335,9007.728803549751,False
0.3125 ug/mL,0.3125,7.38,9007.730621224871,False
0.3125 ug/mL,0.3125,7.425,9007.7323012587,False
0.3125 ug/mL,0.3125,7.47,9007.733854073958,False
0.3125 ug/mL,0.3125,7.515,9007.735289304124,False
0.3125 ug/mL,0.3125,7.56,9007.73661585319,False
0.3125 ug/mL,0.3125,7.6049999999999995,9007.7378419509,False
0.3125 ug/mL,0.3125,7.6499999999999995,9007.738975203816,False
0.3125 ug/mL,0.3125,7.694999999999999,9007.7400226425,False
0.3125 ug/mL,0.3125,7.739999999999999,9007.74099076513,False
0.3125 ug/mL,0.3125,7.785,9007.741885577825,False
0.3125 ug/mL,0.3125,7.83,9007.742712631889,False
0.3125 ug/mL,0.3125,7.875,9007.743477058266,False
0.3125 ug/mL,0.3125,7.92,9007.744183599361,False
0.3125 ug/mL,0.3125,7.965,9007.74483663847,False
0.3125 ug/mL,0.3125,8.01,9007.745440226969,False
0.3125 ug/mL,0.3125,8.055,9007.745998109443,False
0.3125 ug/mL,0.3125,8.1,9007.74651374693,False
0.3125 ug/mL,0.3125,8.145,9007.746990338379,False
0.3125 ug/mL,0.3125,8.19,9007.747430840507,False
0.3125 ug/mL,0.3125,8.235,9007.747837986133,False
0.3125 ug/mL,0.3125,8.28,9007.74821430114,False
0.3125 ug/mL,0.3125,8.325,9007.74856212014,False
0.3125 ug/mL,0.3125,8.37,9007.748883600958,False
0.3125 ug/mL,0.3125,8.415,9007.749180738023,False
0.3125 ug/mL,0.3125,8.459999999999999,9007.749455374735,False
0.3125 ug/mL,0.3125,8.504999999999999,9007.74970921491,False
0.3125 ug/mL,0.3125,8.549999999999999,9007.749943833336,False
0.3125 ug/mL,0.3125,8.594999999999999,9007.750160685562,False
0.3125 ug/mL,0.3125,8.64,9007.75036111691,False
0.3125 ug/mL,0.3125,8.685,9007.750546370833,False
0.3125 ug/mL,0.3125,8.73,9007.750717596622,False
0.3125 ug/mL,0.3125,8.775,9007.75087585654,False
0.3125 ug/mL,0.3125,8.82,9007.751022132416,False
0.3125 ug/mL,0.3125,8.865,9007.751157331722,False
0.3125 ug/mL,0.3125,8.91,9007.751282293222,False
0.3125 ug/mL,0.3125,8.955,9007.75139779216,False
0.3125 ug/mL,0.3125,9.0,9007.75150454508,False
0.3125 ug/mL,0.3125,9.045,9007.75160321426,False
0.3125 ug/mL,0.3125,9.09,9007.751694411834,False
0.3125 ug/mL,0.3125,9.135,9007.75177870358,False
0.3125 ug/mL,0.3125,9.18,9007.751856612433,False
0.3125 ug/mL,0.3125,9.225,9007.75192862173,False
0.3125 ug/mL,0.3125,9.27,9007.75199517821,False
0.3125 ug/mL,0.3125,9.315,9007.752056694779,False
0.3125 ug/mL,0.3125,9.36,9007.752113553079,False
0.3125 ug/mL,0.3125,9.405,9007.75216610585,False
0.3125 ug/mL,0.3125,9.45,9007.752214679127,False
0.3125 ug/mL,0.3125,9.495,9007.752259574248,False
0.3125 ug/mL,0.3125,9.54,9007.75230106974,False
0.3125 ug/mL,0.3125,9.584999999999999,9007.752339423037,False
0.3125 ug/mL,0.3125,9.629999999999999,9007.752374872074,False
0.3125 ug/mL,0.3125,9.674999999999999,9007.752407636775,False
0.3125 ug/mL,0.3125,9.719999999999999,9007.75243792041,False
0.3125 ug/mL,0.3125,9.764999999999999,9007.75246591085,False
0.3125 ug/mL,0.3125,9.81,9007.752491781748,False
0.3125 ug/mL,0.3125,9.855,9007.752515693603,False
0.3125 ug/mL,0.3125,9.9,9007.75253779476,False
0.3125 ug/mL,0.3125,9.945,9007.752558222335,False
0.3125 ug/mL,0.3125,9.99,9007.752577103056,False
0.3125 ug/mL,0.3125,10.035,9007.752594554056,False
0.3125 ug/mL,0.3125,10.08,9007.7526106836,False
0.3125 ug/mL,0.3125,10.125,9007.752625591753,False
0.3125 ug/mL,0.3125,10.17,9007.752639371003,False
0.3125 ug/mL,0.3125,10.215,9007.752652106838,False
0.3125 ug/mL,0.3125,10.26,9007.752663878266,False
0.3125 ug/mL,0.3125,10.305,9007.752674758316,False
0.3125 ug/mL,0.3125,10.35,9007.752684814488,False
0.3125 ug/mL,0.3125,10.395,9007.752694109167,False
0.3125 ug/mL,0.3125,10.44,9007.752702700018,False
0.3125 ug/mL,0.3125,10.485,9007.752710640338,False
0.3125 ug/mL,0.3125,10.53,9007.752717979385,False
0.3125 ug/mL,0.3125,10.575,9007.752724762693,False
0.3125 ug/mL,0.3125,10.62,9007.752731032342,False
0.3125 ug/mL,0.3125,10.665,9007.75273682723,False
0.3125 ug/mL,0.3125,10.709999999999999,9007.752742183306,False
0.3125 ug/mL,0.3125,10.754999999999999,9007.7527471338,False
0.3125 ug/mL,0.3125,10.799999999999999,9007.752751709424,False
0.3125 ug/mL,0.3125,10.844999999999999,9007.752755938563,False
0.3125 ug/mL,0.3125,10.889999999999999,9007.752759847457,False
0.3125 ug/mL,0.3125,10.934999999999999,9007.752763460356,False
0.3125 ug/mL,0.3125,10.98,9007.752766799671,False
0.3125 ug/mL,0.3125,11.025,9007.75276988612,False
0.3125 ug/mL,0.3125,11.07,9007.75277273885,False
0.3125 ug/mL,0.3125,11.115,9007.752775375562,False
0.3125 ug/mL,0.3125,11.16,9007.752777812613,False
0.3125 ug/mL,0.3125,11.205,9007.752780065119,False
0.3125 ug/mL,0.3125,11.25,9007.752782147058,False
0.3125 ug/mL,0.3125,11.295,9007.752784071345,False
0.3125 ug/mL,0.3125,11.34,9007.752785849916,False
0.3125 ug/mL,0.3125,11.385,9007.752787493808,False
0.3125 ug/mL,0.3125,11.43,9007.752789013219,False
0.3125 ug/mL,0.3125,11.475,9007.752790417573,False
0.3125 ug/mL,0.3125,11.52,9007.752791715584,False
0.3125 ug/mL,0.3125,11.565,9007.752792915306,False
0.3125 ug/mL,0.3125,11.61,9007.75279402418,False
0.3125 ug/mL,0.3125,11.655,9007.752795049084,False
0.3125 ug/mL,0.3125,11.7,9007.75279599638,False
0.3125 ug/mL,0.3125,11.745,9007.752796871942,False
0.3125 ug/mL,0.3125,11.79,9007.752797681205,False
0.3125 ug/mL,0.3125,11.834999999999999,9007.752798429186,False
0.3125 ug/mL,0.3125,11.879999999999999,9007.752799120528,False
0.3125 ug/mL,0.3125,11.924999999999999,9007.752799759519,False
0.3125 ug/mL,0.3125,11.969999999999999,9007.752800350123,False
0.3125 ug/mL,0.3125,12.014999999999999,9007.752800896003,False
0.3125 ug/mL,0.3125,12.059999999999999,9007.752801400547,False
0.3125 ug/mL,0.3125,12.105,9007.752801866887,False
0.3125 ug/mL,0.3125,12.15,9007.752802297913,False
0.3125 ug/mL,0.3125,12.195,9007.7528026963,False
0.3125 ug/mL,0.3125,12.24,9007.752803064519,False
0.3125 ug/mL,0.3125,12.285,9007.752803404856,False
0.3125 ug/mL,0.3125,12.33,9007.75280371942,False
0.3125 ug/mL,0.3125,12.375,9007.752804010164,False
